Student Test1   Test2   Test3   Test4   Test5   Avg.    Grade
A       75      83      77      91      76      80      B
B       80      90      95      93      48      81      B
C       78      81      11      90      73      66      D
D       92      83      30      69      87      72      C
E       23      45      96      38      59      52      F
F       60      85      45      39      67      59      F
G       27      31      52      74      83      53      F
H       93      94      89      77      97      90      A
I       79      85      28      93      82      73      C
J       85      72      49      75      63      68      D
Press any key to continue
